#     xpix	  ypix      zpix     GLON	   GLAT	     VLSR
       385        523       120     359.23       4.75    -291.20
       518        543       125     355.28       5.34    -275.10
       302        535       129       1.69       5.10    -262.22
       323        569       130       1.07       6.10    -259.00
       552        571       134     354.27       6.15    -246.12
       302        506       138       1.69       4.26    -233.23
        54        151       142       9.05      -6.10    -220.35
       300        605       143       1.75       7.15    -217.13
       286        573       144       2.17       6.21    -213.91
       693        609       145     350.09       7.26    -210.69
       365        564       145     359.82       5.95    -210.69
       679        593       145     350.51       6.80    -210.69
        44        186       146       9.34      -5.08    -207.47
       285        470       149       2.20       3.21    -197.81
       254        571       150       3.11       6.15    -194.59
       210        513       151       4.42       4.46    -191.37
       482        104       152     356.35      -7.47    -188.15
       166        484       154       5.73       3.62    -181.71
       382        175       154     359.32      -5.40    -181.71
       523        661       155     355.14       8.78    -178.49
       445        469       155     357.45       3.18    -178.49
       167        192       156       5.70      -4.90    -175.27
       198        524       157       4.78       4.78    -172.05
       181        613       158       5.28       7.38    -168.83
       186        502       159       5.13       4.14    -165.61
       272         98       159       2.58      -7.64    -165.61
       237        496       160       3.62       3.97    -162.39
       279        524       161       2.37       4.78    -159.17
        82        686       162       8.22       9.51    -155.95
       195        581       163       4.86       6.45    -152.73
       214        510       163       4.30       4.38    -152.73
       214        493       164       4.30       3.88    -149.51
       128        551       164       6.85       5.57    -149.51
       495        123       165     355.97      -6.91    -146.29
       131        580       165       6.76       6.42    -146.29
       172        659       165       5.55       8.72    -146.29
       359        624       165       0.00       7.70    -146.29
       225        136       165       3.97      -6.53    -146.29
       287        117       166       2.14      -7.09    -143.07
        85        443       166       8.13       2.42    -143.07
       289        133       166       2.08      -6.62    -143.07
       273        125       167       2.55      -6.85    -139.85
       651        624       170     351.34       7.70    -130.19
       146         53       171       6.32      -8.95    -126.97
       439        578       172     357.63       6.36    -123.75
       572        127       172     353.68      -6.80    -123.75
       419        647       173     358.22       8.37    -120.53
       186        631       177       5.13       7.90    -107.64
       157        660       179       5.99       8.75    -101.20
       229        593       180       3.86       6.80     -97.98
       548        160       181     354.39      -5.83     -94.76
       166        641       183       5.73       8.20     -88.32
       485        154       184     356.26      -6.01     -85.10
       347        117       186       0.36      -7.09     -78.66
       369        123       186     359.70      -6.91     -78.66
       436        586       235     357.72       6.59      79.13
       646        659       237     351.49       8.72      85.57
       585        597       238     353.30       6.91      88.79
       557        156       240     354.13      -5.95      95.23
       522        521       240     355.16       4.70      95.23
       244        464       241       3.41       3.03      98.45
       541        572       241     354.60       6.18      98.45
       604        190       241     352.73      -4.96      98.45
       535        547       247     354.78       5.45     117.77
       359        523       248       0.00       4.75     120.99
       215        123       248       4.27      -6.91     120.99
       464        561       249     356.89       5.86     124.21
       290        125       249       2.05      -6.85     124.21
       415        246       250     358.34      -3.33     127.43
       106        578       250       7.50       6.36     127.43
        97        560       250       7.77       5.83     127.43
        68        615       251       8.63       7.44     130.65
       482        590       251     356.35       6.71     130.65
       352        592       252       0.21       6.77     133.87
        93        469       256       7.89       3.18     146.75
       498        522       257     355.88       4.73     149.97
        42        104       257       9.40      -7.47     149.97
       384        146       258     359.26      -6.24     153.20
       422        228       260     358.13      -3.85     159.64
       379        178       260     359.41      -5.31     159.64
       270        590       261       2.64       6.71     162.86
       255        519       261       3.08       4.64     162.86
       160        528       261       5.90       4.90     162.86
        57        110       262       8.96      -7.29     166.08
       367        115       263     359.76      -7.15     169.30
       216        184       265       4.24      -5.13     175.74
       292        554       266       1.99       5.66     178.96
       402        491       268     358.72       3.82     185.40
       367        496       269     359.76       3.97     188.62
       215        547       269       4.27       5.45     188.62
       460        521       269     357.00       4.70     188.62
        20        172       270      10.06      -5.48     191.84
       483        540       273     356.32       5.25     201.50
        61        694       273       8.84       9.74     201.50
       219        516       274       4.15       4.55     204.72
       455        572       275     357.15       6.18     207.94
       205        156       275       4.57      -5.95     207.94
       204        130       278       4.60      -6.71     217.60
       451        567       287     357.27       6.04     246.58
       505        107       288     355.67      -7.38     249.80
       417        212       288     358.28      -4.32     249.80
       442        550       292     357.54       5.54     262.68
       362        108       295     359.91      -7.35     272.34
       356        621       312       0.09       7.61     327.09
       241        656       324       3.50       8.63     365.73
